Ania z Zielonego Wzg—rza ;Montgomery, L. M.;978-83-7699-303-4
Z dala od zgie¸ku ;Hardy, Thomas;978-83-247-1843-6
Opowieæ podr«cznej ;Atwood, Margaret;978-83-8032-439-8
Opowieæ podr«cznej ;Atwood, Margaret;978-83-8146-204-4
W¸adca much ;Golding, William;978-83-60717-79-0
W¸adca much ;Golding, William;978-83-8202-047-2
W¸adca much ;Golding, William;978-83-08-049-18-1
Pokuta ;McEwan, Ian;978-83-8125-323-9
Pokuta ;McEwan, Ian;978-83-8125-342-0
ûycie Pi ;Martel, Yann;978-83-240-1054-7
ûycie Pi ;Martel, Yann;978-83-7659-928-1
ûycie Pi ;Martel, Yann;978-83-7885-012-0
Diuna ;Herbert, Frank;978-83-7818-496-6
Diuna ;Herbert, Frank;978-83-8188-057-2
Rozwaına i romantyczna ;Austen, Jane;978-83-247-1517-6
Rozwaına i romantyczna ;Austen, Jane;978-83-252-0403-7
CieÄ wiatru ;Zafon, Carlos Ruiz;978-83-7495-419-8
CieÄ wiatru ;Zafon, Carlos Ruiz;978-83-7495-432-7
CieÄ wiatru ;Zafon, Carlos Ruiz;978-83-7758-277-0
Opowieæ o dw—ch miastach ;Dickens, Charles ;978-83-65676-42-9
Opowieæ o dw—ch miastach ;Dickens, Charles ;978-83-65521-73-6
Nowy wspania¸y æwiat ;Huxley, Aldous;978-83-7758-404-0
Nowy wspania¸y æwiat ;Huxley, Aldous;978-83-7495-869-1
Dziwny przypadek psa nocnˆ porˆ (r—wnieı: Dziwny przypadek z psem nocnˆ porˆ) ;Haddon, Mark;978-83-7311-949-9
Mi¸oæ w czasach zarazy ;Marquez, Gabriel Garcia;978-83-287-0593-7
Mi¸oæ w czasach zarazy ;Marquez, Gabriel Garcia;978-83-7495-270-5
Mi¸oæ w czasach zarazy ;Marquez, Gabriel Garcia;978-83-7495-360-3
Myszy i ludzie;Steinbeck, John;978-83-61593-60-7
Myszy i ludzie;Steinbeck, John;978-83-7839-995-7
Lolita ;Nabokov, Vladimir;978-83-7495-405-1
Lolita ;Nabokov, Vladimir;978-83-7758-242-8
Lolita ;Nabokov, Vladimir;978-83-7758-374-6
Lolita ;Nabokov, Vladimir;978-83-7758-390-6
Tajemna historia ;Tartt, Donna;978-83-240-2741-5
Nostalgia anio¸a ;Sebold, Alice;978-83-7359-917-8
Hrabia Monte Christo ;Dumas, Alexandre;978-83-66116-74-0
Hrabia Monte Christo ;Dumas, Alexandre;978-83-7384-520-6
Hrabia Monte Christo ;Dumas, Alexandre;978-83-7384-522-0
W drodze ;Kerouac, Jack;978-83-7414-082-9
Juda nieznany ;Hardy, Thomas;978-83-247-1833-7
Dziennik Bridget Jones ;Fielding, Helen;978-83-7785-306-1
Dziennik Bridget Jones ;Fielding, Helen;978-83-7785-307-8
Dzieci p—¸nocy ;Rushdie, Salman;978-83-8188-724-3
Moby Dick ;Melville, Herman;978-84-9819-186-8
Oliver Twist ;Dickens, Charles;978-0-19-479266-0
Oliver Twist ;Dickens, Charles;978-1-405073-00-4
Oliver Twist ;Dickens, Charles;978-83-8200-009-2
Dracula ;Stoker, Bram;978-1-784-87161-1
Dracula ;Stoker, Bram;978-83-7435-830-9
Dracula ;Stoker, Bram;978-83-7858-039-3
Dracula ;Stoker, Bram;978-83-7998-021-5
Tajemniczy ogr—d ;Burnett, Frances Hodgson;978-83-65875-25-9
Tajemniczy ogr—d ;Burnett, Frances Hodgson;978-83-7327-457-0
Tajemniczy ogr—d ;Burnett, Frances Hodgson;978-83-7389-939-1
Tajemniczy ogr—d ;Burnett, Frances Hodgson;978-83-7435-167-6
Tajemniczy ogr—d ;Burnett, Frances Hodgson;978-83-7652-017-9
Zapiski z ma¸ej wyspy ;Bryson, Bill;978-83-7506-215-1
Ulisses ;Joyce, James;978-83-240-0451-5
Ulisses ;Joyce, James;978-83-240-1879-6
Szklany klosz ;Plath, Sylvia;978-83-08-04435-3
Jask—¸ki i Amazonki ;Ransome, Arthur;978-83-7785-833-2
Germinal ;Zola, Emil;978-83-7435-805-7
Germinal ;Zola, Emil;978-83-7435-141-6
Targowisko pr—ınoæci ;Thackeray, William Makepeace;978-83-252-0426-6
Op«tanie ;Byatt, A. S.;978-83-7648-763-1
Opowieæ wigilijna ;Dickens, Charles;978-83-65634-29-0
Opowieæ wigilijna ;Dickens, Charles;978-83-66251-13-7
Opowieæ wigilijna ;Dickens, Charles;978-83-7162-971-6
Opowieæ wigilijna ;Dickens, Charles;978-83-62622-39-9
Atlas chmur ;Mitchell, David;978-83-7480-278-9
Kolor purpury ;Walker, Alice;978-83-7648-628-4
Okruchy dnia ;Ishiguro, Kazuo;978-83-7359-796-9
Okruchy dnia ;Ishiguro, Kazuo;978-83-7359-997-0
Pani Bovary ;Flaubert, Gustave;978-83-7389-594-2
Pani Bovary ;Flaubert, Gustave;978-83-61967-67-5
Pani Bovary ;Flaubert, Gustave;978-83-66620-59-9
Paj«czyna Szarloty ;White, E. B.;978-83-7469-450-6
Pi« os—b, kt—re spotykamy w niebie ;Albom, Mitch;978-83-8116-700-0
Przygody Scherlocka Holmesa ;Doyle, Arthur Conan;978-83-7162-013-3
Przygody Scherlocka Holmesa ;Doyle, Arthur Conan;978-83-7399-204-7
Jˆdro ciemnoæci ;Conrad, Joseph ;978-83-61724-22-3
Jˆdro ciemnoæci ;Conrad, Joseph ;978-83-65755-39-1
Jˆdro ciemnoæci ;Conrad, Joseph ;978-83-7389-710-6
Jˆdro ciemnoæci ;Conrad, Joseph ;978-83-7670-234-6
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-7887-634-2
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-240-3886-2
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-274-3154-7
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-274-4090-7
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-274-9061-2
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-60946-03-9
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-60946-65-7
Ma¸y Ksiˆı« ;De Saint-Exupery, Antoine;978-83-7495-275-0
Wodnikowe Wzg—rze ;Adams, Richard;978-83-080-5906-7
Sprzysi«ıenie os¸—w;Toole, John Kennedy;978-83-247-0396-8
Trzej muszkieterowie ;Dumas, Aleksander;978-83-11-15215-1
Trzej muszkieterowie ;Dumas, Aleksander;978-83-11-15405-6
Hamlet ;Shakespeare, William;978-83-60446-35-5
Hamlet ;Shakespeare, William;978-83-63720-13-1
Hamlet ;Shakespeare, William;978-83-7327-252-1
Charlie i fabryka czekolady ;Dahl, Roald;978-83-943233-1-8
Charlie i fabryka czekolady ;Dahl, Roald;978-83-943288-1-8
N«dznicy ;Hugo, Victor;978-83-60313-58-9
N«dznicy ;Hugo, Victor;978-83-65922-53-3

